ProductSupplierID,ProductID,ProductName,ProductCategory,SupplierID,SupplierName,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
44,3021,Nordic Classic XC Skis - 185cm,Ski,4,Worldwide Importers,WOR-3021,249.19,10,5000.0,20,Active,system,2025-12-26
45,3021,Nordic Classic XC Skis - 185cm,Ski,5,Fabrikam,FAB-3021,270.89,10,,11,Active,system,2026-03-19
46,3022,Backcountry Explorer XC Skis - 190cm,Ski,3,Alpine Ski House,ALP-3022,347.02,5,10000.0,9,Active,system,2025-11-08
47,3031,Pro Flex Racing Ski Boots,Ski,3,Alpine Ski House,ALP-3031,497.38,5,1000.0,14,Active,system,2026-03-27
48,3032,Comfort Fit Recreational Boots,Ski,3,Alpine Ski House,ALP-3032,252.31,5,5000.0,13,Active,system,2025-11-01
49,3033,Women's Performance Ski Boots,Ski,3,Alpine Ski House,ALP-3033,457.2,25,10000.0,13,Active,system,2026-01-02
50,3033,Women's Performance Ski Boots,Ski,4,Worldwide Importers,WOR-3033,419.69,25,500.0,17,Active,system,2026-03-21
51,3041,Carbon Fiber Racing Poles - 120cm,Ski,3,Alpine Ski House,ALP-3041,122.21,10,5000.0,13,Active,system,2026-03-15
52,3042,Aluminum All-Mountain Poles - 115cm,Ski,3,Alpine Ski House,ALP-3042,61.48,1,5000.0,14,Active,system,2026-03-11
53,3051,Insulated Ski Jacket - Men's,Ski,3,Alpine Ski House,ALP-3051,235.56,10,,11,Active,system,2026-02-16
54,3052,Thermal Base Layer Set - Women's,Ski,3,Alpine Ski House,ALP-3052,110.67,50,10000.0,14,Active,system,2026-01-26
55,3053,Waterproof Ski Pants,Ski,3,Alpine Ski House,ALP-3053,166.37,5,1000.0,9,Active,system,2026-02-19
56,3061,Professional Ski Helmet,Ski,3,Alpine Ski House,ALP-3061,144.99,1,5000.0,10,Active,system,2025-11-08
57,3062,Anti-Fog Ski Goggles,Ski,3,Alpine Ski House,ALP-3062,86.98,25,1000.0,14,Active,system,2026-03-07
58,3071,Ski Boot Bag - Premium,Ski,3,Alpine Ski House,ALP-3071,39.5,25,5000.0,15,Active,system,2025-12-27
59,3071,Ski Boot Bag - Premium,Ski,5,Fabrikam,FAB-3071,41.25,10,5000.0,15,Active,system,2025-12-20
60,3072,Hand Warmers - 10 Pack,Ski,3,Alpine Ski House,ALP-3072,9.0,1,10000.0,13,Active,system,2025-11-28
61,3081,All-Temp Ski Wax Kit,Ski,3,Alpine Ski House,ALP-3081,56.17,50,10000.0,9,Active,system,2025-12-06
62,3082,Edge Tuning Tool Set,Ski,3,Alpine Ski House,ALP-3082,91.1,1,10000.0,10,Active,system,2026-02-22
63,3091,Freestyle Snowboard - 155cm,Ski,3,Alpine Ski House,ALP-3091,488.49,25,,11,Active,system,2026-03-09
64,3092,All-Mountain Snowboard - 158cm,Ski,3,Alpine Ski House,ALP-3092,622.36,1,,10,Active,system,2026-03-26
65,3101,Winter Boots - Insulated,Ski,3,Alpine Ski House,ALP-3101,97.44,10,,14,Active,system,2025-12-26
66,3102,Winter Hiking Boots - Waterproof,Ski,3,Alpine Ski House,ALP-3102,183.17,25,1000.0,12,Active,system,2026-01-19
67,3102,Winter Hiking Boots - Waterproof,Ski,5,Fabrikam,FAB-3102,163.66,50,5000.0,13,Active,system,2025-11-13
68,3103,Snowboard Bindings - Pro,Ski,3,Alpine Ski House,ALP-3103,228.16,50,5000.0,9,Active,system,2025-12-07
69,3104,Ski Tuning Bench - Portable,Ski,3,Alpine Ski House,ALP-3104,143.27,10,10000.0,9,Active,system,2026-01-10
70,3104,Ski Tuning Bench - Portable,Ski,5,Fabrikam,FAB-3104,147.78,10,5000.0,17,Active,system,2026-01-22
