InventoryID,ProductID,ProductName,ProductCategory,WarehouseLocation,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
49,3012,Mountain Master All-Terrain Skis - 165cm,Ski,Main,7,1,6,5,6,22,2026-04-29,662.59,Active,system,2025-12-08
50,3013,Beginner's Choice Alpine Skis - 160cm,Ski,Backup,99,15,84,23,39,175,2026-04-29,352.91,Active,system,2025-12-21
51,3021,Nordic Classic XC Skis - 185cm,Ski,Main,73,15,58,16,20,75,2026-04-28,259.09,Active,system,2025-08-15
52,3022,Backcountry Explorer XC Skis - 190cm,Ski,Backup,112,14,98,24,34,237,2026-04-28,347.02,Active,system,2025-09-07
53,3031,Pro Flex Racing Ski Boots,Ski,Main,22,3,19,34,49,116,2026-04-28,497.38,LowStock,system,2025-10-30
54,3032,Comfort Fit Recreational Boots,Ski,Backup,13,2,11,4,5,21,2026-04-28,252.31,Active,system,2025-11-10
55,3033,Women's Performance Ski Boots,Ski,Main,5,0,5,7,10,45,2026-04-28,438.44,LowStock,system,2025-11-12
56,3041,Carbon Fiber Racing Poles - 120cm,Ski,Main,22,3,19,4,6,21,2026-04-29,122.21,Excess,system,2026-02-22
57,3041,Carbon Fiber Racing Poles - 120cm,Ski,Backup,6,0,6,4,6,21,2026-04-29,122.21,Active,system,2026-02-22
58,3042,Aluminum All-Mountain Poles - 115cm,Ski,Main,16,2,14,13,16,91,2026-04-28,61.48,Active,system,2025-09-06
59,3042,Aluminum All-Mountain Poles - 115cm,Ski,Backup,5,0,5,13,16,91,2026-04-28,61.48,Active,system,2025-09-06
60,3051,Insulated Ski Jacket - Men's,Ski,Main,139,36,103,18,21,137,2026-04-29,235.56,Excess,system,2025-12-15
61,3052,Thermal Base Layer Set - Women's,Ski,Regional,115,23,92,25,39,151,2026-04-29,110.67,Active,system,2025-11-09
62,3052,Thermal Base Layer Set - Women's,Ski,Backup,33,0,33,25,39,151,2026-04-29,110.67,Active,system,2025-11-09
63,3053,Waterproof Ski Pants,Ski,Main,103,26,77,17,28,102,2026-04-28,166.37,Excess,system,2026-01-02
64,3061,Professional Ski Helmet,Ski,Main,43,10,33,13,20,50,2026-04-28,144.99,Active,system,2025-10-12
65,3062,Anti-Fog Ski Goggles,Ski,Main,25,6,19,4,5,26,2026-04-28,86.98,Active,system,2025-12-16
66,3071,Ski Boot Bag - Premium,Ski,Main,208,41,167,37,68,202,2026-04-29,40.38,Excess,system,2026-01-10
67,3072,Hand Warmers - 10 Pack,Ski,Backup,55,8,47,24,46,215,2026-04-29,9.0,Active,system,2025-08-05
68,3081,All-Temp Ski Wax Kit,Ski,Regional,92,13,79,13,16,98,2026-04-28,56.17,Active,system,2025-11-14
69,3081,All-Temp Ski Wax Kit,Ski,Backup,44,0,44,13,16,98,2026-04-28,56.17,Active,system,2025-11-14
70,3082,Edge Tuning Tool Set,Ski,Regional,175,29,146,18,26,167,2026-04-29,91.1,Excess,system,2025-08-07
71,3091,Freestyle Snowboard - 155cm,Ski,Main,132,18,114,15,27,113,2026-04-29,488.49,Excess,system,2025-07-20
72,3092,All-Mountain Snowboard - 158cm,Ski,Main,14,2,12,11,14,54,2026-04-29,622.36,Active,system,2025-09-24
73,3101,Winter Boots - Insulated,Ski,Backup,75,19,56,17,22,91,2026-04-29,97.44,Active,system,2026-03-01
74,3102,Winter Hiking Boots - Waterproof,Ski,Backup,4,0,4,12,20,131,2026-04-29,173.42,LowStock,system,2025-10-01
75,3103,Snowboard Bindings - Pro,Ski,Main,14,2,12,9,13,51,2026-04-28,228.16,Active,system,2026-03-03
76,3104,Ski Tuning Bench - Portable,Ski,Backup,0,0,0,6,8,51,2026-04-29,145.52,OutOfStock,system,2026-03-06
