PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
17,PO-2026-0017,2,Proseware Inc,2026-02-12,2026-02-22,2026-02-24,Delivered,5993.76,Main Warehouse,buyer1,Low,Multi-category order,system,2026-02-12
18,PO-2026-0018,2,Proseware Inc,2026-03-22,2026-04-05,2026-04-08,Delivered,3801.36,Regional DC,buyer1,Low,Multi-category order,system,2026-03-22
19,PO-2026-0019,7,Worldwide Importers,2026-04-09,2026-04-30,,Confirmed,0.0,Main Warehouse,buyer2,Low,Multi-category order,system,2026-04-09
20,PO-2026-0020,6,Worldwide Importers,2026-03-20,2026-04-08,2026-04-10,Delivered,0.0,Backup Warehouse,buyer2,High,Multi-category order,system,2026-03-20
21,PO-2026-0021,1,Contoso Ltd,2026-04-26,2026-05-10,,Sent,4125.5,Regional DC,buyer1,Low,Multi-category order,system,2026-04-26
22,PO-2026-0022,1,Contoso Ltd,2026-03-08,2026-03-23,2026-03-26,Delivered,1123.31,Regional DC,buyer2,Medium,Multi-category order,system,2026-03-08
23,PO-2026-0023,3,Alpine Ski House,2026-03-14,2026-03-30,2026-04-01,Delivered,891.45,Main Warehouse,buyer2,Low,Multi-category order,system,2026-03-14
24,PO-2026-0024,5,Fabrikam,2026-04-14,2026-04-28,2026-04-28,Delivered,10207.76,Regional DC,supply_manager,Medium,Multi-category order,system,2026-04-14
25,PO-2026-0025,5,Fabrikam,2026-04-21,2026-05-10,,InTransit,9796.8,Backup Warehouse,buyer1,Emergency,Multi-category order,system,2026-04-21
26,PO-2026-0026,2,Proseware Inc,2026-04-07,2026-04-16,2026-04-17,Delivered,7227.64,Regional DC,supply_manager,Low,Multi-category order,system,2026-04-07
27,PO-2026-0027,7,Worldwide Importers,2026-03-31,2026-04-19,2026-04-21,Delivered,0.0,Backup Warehouse,buyer1,Medium,Multi-category order,system,2026-03-31
28,PO-2026-0028,3,Alpine Ski House,2026-03-12,2026-03-29,2026-03-31,Delivered,3897.46,Main Warehouse,buyer2,Low,Multi-category order,system,2026-03-12
29,PO-2026-0029,6,Worldwide Importers,2026-02-21,2026-03-16,2026-03-17,Delivered,0.0,Regional DC,buyer1,High,Multi-category order,system,2026-02-21
30,PO-2026-0030,1,Contoso Ltd,2026-02-18,2026-03-01,2026-03-04,Delivered,977.8,Regional DC,supply_manager,Medium,Multi-category order,system,2026-02-18
31,PO-2026-0031,6,Worldwide Importers,2026-03-23,2026-04-18,2026-04-20,Delivered,0.0,Main Warehouse,buyer1,Medium,Multi-category order,system,2026-03-23
32,PO-2026-0032,5,Fabrikam,2026-04-14,2026-04-27,2026-04-27,Delivered,2983.0,Backup Warehouse,buyer2,Low,Multi-category order,system,2026-04-14
33,PO-2026-0033,6,Worldwide Importers,2026-04-18,2026-05-08,,Confirmed,0.0,Regional DC,supply_manager,Low,Multi-category order,system,2026-04-18
34,PO-2026-0034,3,Alpine Ski House,2026-02-20,2026-03-08,2026-03-08,Delivered,1755.15,Regional DC,supply_manager,Low,Multi-category order,system,2026-02-20
35,PO-2026-0035,2,Proseware Inc,2026-03-02,2026-03-12,2026-03-14,Delivered,682.32,Main Warehouse,supply_manager,Low,Multi-category order,system,2026-03-02
36,PO-2026-0036,2,Proseware Inc,2026-03-13,2026-03-23,2026-03-26,Delivered,363.4,Backup Warehouse,buyer1,Low,Multi-category order,system,2026-03-13
37,PO-2026-0037,4,Worldwide Importers,2026-02-15,2026-03-07,2026-03-20,Delivered,9039.72,Regional DC,supply_manager,Low,Multi-category order,system,2026-02-15
38,PO-2026-0038,1,Contoso Ltd,2026-03-16,2026-03-24,2026-03-26,Delivered,4586.66,Regional DC,supply_manager,Low,Multi-category order,system,2026-03-16
39,PO-2026-0039,3,Alpine Ski House,2026-02-11,2026-02-28,2026-02-28,Delivered,4047.65,Main Warehouse,buyer2,High,Multi-category order,system,2026-02-11
40,PO-2026-0040,3,Alpine Ski House,2026-02-01,2026-02-14,2026-02-15,Delivered,12078.86,Regional DC,supply_manager,Low,Multi-category order,system,2026-02-01
41,PO-2026-0041,7,Worldwide Importers,2026-03-31,2026-04-22,2026-04-24,Delivered,0.0,Main Warehouse,buyer2,Low,Multi-category order,system,2026-03-31
42,PO-2026-0042,2,Proseware Inc,2026-04-01,2026-04-12,2026-04-12,Delivered,1275.93,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-04-01
43,PO-2026-0043,5,Fabrikam,2026-02-08,2026-02-21,2026-02-23,Delivered,2684.7,Regional DC,supply_manager,Emergency,Multi-category order,system,2026-02-08
44,PO-2026-0044,4,Worldwide Importers,2026-03-04,2026-03-30,2026-04-01,Delivered,3059.8,Regional DC,buyer2,Low,Multi-category order,system,2026-03-04
45,PO-2026-0045,4,Worldwide Importers,2026-02-15,2026-03-10,2026-03-13,Delivered,13040.62,Backup Warehouse,buyer2,Low,Multi-category order,system,2026-02-15
46,PO-2026-0046,7,Worldwide Importers,2026-03-22,2026-04-11,2026-04-24,Delivered,0.0,Backup Warehouse,buyer2,Low,Multi-category order,system,2026-03-22
47,PO-2026-0047,3,Alpine Ski House,2026-04-16,2026-05-02,,Confirmed,4132.2,Backup Warehouse,buyer2,Low,Multi-category order,system,2026-04-16
48,PO-2026-0048,6,Worldwide Importers,2026-03-23,2026-04-14,2026-04-20,Delivered,0.0,Regional DC,buyer1,Low,Multi-category order,system,2026-03-23
49,PO-2026-0049,6,Worldwide Importers,2026-03-31,2026-04-21,2026-04-21,Delivered,0.0,Main Warehouse,supply_manager,Medium,Multi-category order,system,2026-03-31
50,PO-2026-0050,2,Proseware Inc,2026-04-17,2026-04-26,2026-04-28,Delivered,4959.0,Backup Warehouse,buyer2,Low,Multi-category order,system,2026-04-17
51,PO-2026-0051,1,Contoso Ltd,2026-04-16,2026-04-24,2026-04-26,Delivered,1338.89,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-04-16
52,PO-2026-0052,4,Worldwide Importers,2026-04-05,2026-04-26,2026-04-29,Delivered,4751.43,Main Warehouse,buyer2,Low,Multi-category order,system,2026-04-05
53,PO-2026-0053,6,Worldwide Importers,2026-03-11,2026-03-31,2026-04-03,Delivered,0.0,Regional DC,supply_manager,Low,Multi-category order,system,2026-03-11
54,PO-2026-0054,6,Worldwide Importers,2026-03-23,2026-04-15,2026-04-15,Delivered,0.0,Backup Warehouse,supply_manager,High,Multi-category order,system,2026-03-23
55,PO-2026-0055,7,Worldwide Importers,2026-04-12,2026-05-08,,InTransit,0.0,Backup Warehouse,buyer1,Low,Multi-category order,system,2026-04-12
56,PO-2026-0056,3,Alpine Ski House,2026-02-18,2026-03-03,2026-03-05,Delivered,6279.93,Backup Warehouse,buyer1,Low,Multi-category order,system,2026-02-18
57,PO-2026-0057,5,Fabrikam,2026-02-08,2026-02-25,2026-02-27,Delivered,17231.66,Regional DC,buyer2,Low,Multi-category order,system,2026-02-08
58,PO-2026-0058,3,Alpine Ski House,2026-02-15,2026-02-26,2026-02-28,Delivered,7623.03,Regional DC,supply_manager,Medium,Multi-category order,system,2026-02-15
59,PO-2026-0059,7,Worldwide Importers,2026-03-12,2026-04-05,2026-04-08,Delivered,0.0,Regional DC,buyer2,Medium,Multi-category order,system,2026-03-12
60,PO-2026-0060,6,Worldwide Importers,2026-04-10,2026-05-03,,Confirmed,0.0,Main Warehouse,supply_manager,Low,Multi-category order,system,2026-04-10
61,PO-2026-0061,2,Proseware Inc,2026-01-31,2026-02-11,2026-02-14,Delivered,30.82,Main Warehouse,buyer2,Medium,Multi-category order,system,2026-01-31
62,PO-2026-0062,6,Worldwide Importers,2026-02-21,2026-03-14,2026-03-15,Delivered,0.0,Main Warehouse,buyer1,Low,Multi-category order,system,2026-02-21
63,PO-2026-0063,2,Proseware Inc,2026-03-04,2026-03-16,2026-03-18,Delivered,2984.55,Backup Warehouse,buyer1,Medium,Multi-category order,system,2026-03-04
64,PO-2026-0064,3,Alpine Ski House,2026-03-13,2026-03-30,2026-04-02,Delivered,2686.45,Main Warehouse,supply_manager,Medium,Multi-category order,system,2026-03-13
65,PO-2026-0065,6,Worldwide Importers,2026-02-23,2026-03-14,2026-03-16,Delivered,0.0,Backup Warehouse,buyer1,Low,Multi-category order,system,2026-02-23
66,PO-2026-0066,1,Contoso Ltd,2026-01-31,2026-02-09,2026-02-12,Delivered,1881.69,Regional DC,buyer2,Emergency,Multi-category order,system,2026-01-31
67,PO-2026-0067,2,Proseware Inc,2026-04-25,2026-05-07,,Sent,772.03,Backup Warehouse,supply_manager,Medium,Multi-category order,system,2026-04-25
68,PO-2026-0068,1,Contoso Ltd,2026-03-01,2026-03-12,2026-03-14,Delivered,689.7,Main Warehouse,buyer1,Low,Multi-category order,system,2026-03-01
69,PO-2026-0069,3,Alpine Ski House,2026-04-06,2026-04-16,2026-04-19,Delivered,5166.26,Main Warehouse,buyer2,Low,Multi-category order,system,2026-04-06
70,PO-2026-0070,2,Proseware Inc,2026-04-28,2026-05-08,,InTransit,956.8,Main Warehouse,buyer1,Medium,Multi-category order,system,2026-04-28
71,PO-2026-0071,7,Worldwide Importers,2026-04-08,2026-05-03,,Confirmed,0.0,Regional DC,buyer1,Low,Multi-category order,system,2026-04-08
72,PO-2026-0072,1,Contoso Ltd,2026-03-09,2026-03-24,2026-03-26,Delivered,3848.52,Backup Warehouse,buyer1,Emergency,Multi-category order,system,2026-03-09
73,PO-2026-0073,1,Contoso Ltd,2026-03-25,2026-04-08,2026-04-10,Delivered,2149.0,Regional DC,supply_manager,Low,Multi-category order,system,2026-03-25
74,PO-2026-0074,4,Worldwide Importers,2026-02-18,2026-03-12,2026-03-13,Delivered,2008.21,Regional DC,supply_manager,Low,Multi-category order,system,2026-02-18
75,PO-2026-0075,6,Worldwide Importers,2026-04-01,2026-04-25,2026-04-27,Delivered,0.0,Regional DC,buyer2,Low,Multi-category order,system,2026-04-01
76,PO-2026-0076,2,Proseware Inc,2026-02-02,2026-02-13,2026-02-14,Delivered,977.36,Regional DC,buyer2,High,Multi-category order,system,2026-02-02
77,PO-2026-0077,4,Worldwide Importers,2026-04-24,2026-05-19,,Sent,663.8,Main Warehouse,buyer1,Low,Multi-category order,system,2026-04-24
78,PO-2026-0078,5,Fabrikam,2026-03-18,2026-03-31,2026-03-31,Delivered,37337.34,Regional DC,buyer1,Low,Multi-category order,system,2026-03-18
79,PO-2026-0079,3,Alpine Ski House,2026-03-02,2026-03-17,2026-03-17,Delivered,6268.61,Main Warehouse,supply_manager,Low,Multi-category order,system,2026-03-02
80,PO-2026-0080,7,Worldwide Importers,2026-02-11,2026-03-07,2026-03-09,Delivered,0.0,Regional DC,supply_manager,Low,Multi-category order,system,2026-02-11
81,PO-2026-0081,6,Worldwide Importers,2026-03-07,2026-03-27,2026-04-05,Delivered,0.0,Backup Warehouse,buyer2,Low,Multi-category order,system,2026-03-07
82,PO-2026-0082,1,Contoso Ltd,2026-03-25,2026-04-07,2026-04-07,Delivered,818.12,Main Warehouse,buyer1,Medium,Multi-category order,system,2026-03-25
83,PO-2026-0083,2,Proseware Inc,2026-04-16,2026-04-25,2026-04-27,Delivered,487.73,Main Warehouse,buyer2,Low,Multi-category order,system,2026-04-16
84,PO-2026-0084,6,Worldwide Importers,2026-03-05,2026-03-26,2026-03-27,Delivered,0.0,Backup Warehouse,buyer2,Low,Multi-category order,system,2026-03-05
85,PO-2026-0085,2,Proseware Inc,2026-04-16,2026-04-25,2026-04-26,Delivered,159.61,Main Warehouse,supply_manager,Medium,Multi-category order,system,2026-04-16
86,PO-2026-0086,2,Proseware Inc,2026-03-05,2026-03-15,2026-03-18,Delivered,1184.72,Backup Warehouse,buyer2,Medium,Multi-category order,system,2026-03-05
87,PO-2026-0087,7,Worldwide Importers,2026-03-26,2026-04-14,2026-04-14,Delivered,0.0,Regional DC,buyer1,Medium,Multi-category order,system,2026-03-26
88,PO-2026-0088,3,Alpine Ski House,2026-02-28,2026-03-11,2026-03-13,Delivered,1528.1,Main Warehouse,buyer1,Medium,Multi-category order,system,2026-02-28
89,PO-2026-0089,6,Worldwide Importers,2026-04-28,2026-05-19,,InTransit,0.0,Main Warehouse,buyer2,Low,Multi-category order,system,2026-04-28
90,PO-2026-0090,2,Proseware Inc,2026-02-08,2026-02-22,2026-02-22,Delivered,388.27,Main Warehouse,buyer2,Low,Multi-category order,system,2026-02-08
91,PO-2026-0091,3,Alpine Ski House,2026-04-06,2026-04-17,2026-04-17,Delivered,6267.45,Regional DC,buyer2,Emergency,Multi-category order,system,2026-04-06
92,PO-2026-0092,7,Worldwide Importers,2026-03-20,2026-04-10,2026-04-12,Delivered,0.0,Backup Warehouse,buyer2,Medium,Multi-category order,system,2026-03-20
93,PO-2026-0093,2,Proseware Inc,2026-01-31,2026-02-11,2026-02-11,Delivered,373.6,Backup Warehouse,supply_manager,Emergency,Multi-category order,system,2026-01-31
94,PO-2026-0094,2,Proseware Inc,2026-02-19,2026-03-05,2026-03-07,Delivered,333.07,Backup Warehouse,buyer1,Low,Multi-category order,system,2026-02-19
95,PO-2026-0095,5,Fabrikam,2026-03-18,2026-04-01,2026-04-03,Delivered,31075.24,Regional DC,buyer1,Low,Multi-category order,system,2026-03-18
96,PO-2026-0096,7,Worldwide Importers,2026-03-19,2026-04-09,2026-04-11,Delivered,0.0,Backup Warehouse,buyer2,Medium,Multi-category order,system,2026-03-19
97,PO-2026-0097,6,Worldwide Importers,2026-04-25,2026-05-15,,Confirmed,0.0,Backup Warehouse,buyer2,Medium,Multi-category order,system,2026-04-25
98,PO-2026-0098,6,Worldwide Importers,2026-02-01,2026-02-24,2026-02-25,Delivered,0.0,Main Warehouse,supply_manager,Low,Multi-category order,system,2026-02-01
99,PO-2026-0099,3,Alpine Ski House,2026-04-25,2026-05-06,,Sent,5135.66,Regional DC,buyer1,Low,Multi-category order,system,2026-04-25
100,PO-2026-0100,5,Fabrikam,2026-04-02,2026-04-20,2026-04-20,Delivered,3482.46,Main Warehouse,buyer1,Low,Multi-category order,system,2026-04-02
101,PO-2026-0101,5,Fabrikam,2026-03-26,2026-04-08,2026-04-09,Delivered,3536.16,Backup Warehouse,buyer1,Low,Multi-category order,system,2026-03-26
102,PO-2026-0102,3,Alpine Ski House,2026-02-20,2026-03-07,2026-03-09,Delivered,594.3,Regional DC,buyer1,Low,Multi-category order,system,2026-02-20
103,PO-2026-0103,2,Proseware Inc,2026-03-21,2026-04-04,2026-04-04,Delivered,960.73,Main Warehouse,buyer1,Medium,Multi-category order,system,2026-03-21
104,PO-2026-0104,6,Worldwide Importers,2026-03-22,2026-04-10,2026-04-13,Delivered,0.0,Main Warehouse,supply_manager,High,Multi-category order,system,2026-03-22
105,PO-2026-0105,1,Contoso Ltd,2026-03-08,2026-03-22,2026-03-22,Delivered,6574.44,Backup Warehouse,buyer2,Low,Multi-category order,system,2026-03-08
106,PO-2026-0106,3,Alpine Ski House,2026-02-28,2026-03-17,2026-03-18,Delivered,11485.04,Regional DC,supply_manager,Low,Multi-category order,system,2026-02-28
107,PO-2026-0107,5,Fabrikam,2026-04-18,2026-04-30,,Confirmed,6884.78,Main Warehouse,buyer2,Medium,Multi-category order,system,2026-04-18
108,PO-2026-0108,4,Worldwide Importers,2026-04-03,2026-04-28,2026-04-28,Delivered,3293.74,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-04-03
109,PO-2026-0109,2,Proseware Inc,2026-04-14,2026-04-22,2026-04-25,Delivered,1470.16,Backup Warehouse,buyer1,Medium,Multi-category order,system,2026-04-14
110,PO-2026-0110,6,Worldwide Importers,2026-03-26,2026-04-14,2026-04-14,Delivered,0.0,Backup Warehouse,buyer1,High,Multi-category order,system,2026-03-26
111,PO-2026-0111,2,Proseware Inc,2026-04-21,2026-05-02,,Sent,826.79,Main Warehouse,supply_manager,High,Multi-category order,system,2026-04-21
112,PO-2026-0112,5,Fabrikam,2026-03-26,2026-04-14,2026-04-17,Delivered,5152.72,Main Warehouse,supply_manager,Low,Multi-category order,system,2026-03-26
113,PO-2026-0113,5,Fabrikam,2026-04-16,2026-05-01,,Confirmed,10967.44,Main Warehouse,buyer2,Low,Multi-category order,system,2026-04-16
114,PO-2026-0114,4,Worldwide Importers,2026-04-14,2026-05-07,,Sent,12067.09,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-04-14
115,PO-2026-0115,7,Worldwide Importers,2026-03-02,2026-03-23,2026-03-24,Delivered,0.0,Regional DC,buyer2,Medium,Multi-category order,system,2026-03-02
116,PO-2026-0116,5,Fabrikam,2026-04-22,2026-05-09,,Confirmed,6809.7,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-04-22
117,PO-2026-0117,3,Alpine Ski House,2026-04-07,2026-04-18,2026-04-20,Delivered,6205.77,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-04-07
118,PO-2026-0118,3,Alpine Ski House,2026-03-05,2026-03-15,2026-03-15,Delivered,3569.16,Regional DC,buyer2,Low,Multi-category order,system,2026-03-05
