ForecastID,ProductID,ProductName,ProductCategory,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,SalesTrendMultiplier,CompoundTrendMultiplier,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
48,1511,Alpine Explorer Tent,Camping,2026-06-01,Monthly,71,70.22,1.0,Growing,61,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-26
49,1511,Alpine Explorer Tent,Camping,2026-07-01,Monthly,76,70.22,1.0,Growing,61,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-22
50,1522,SummitClimber Backpack,Camping,2026-05-01,Monthly,118,69.32,1.0,Growing,110,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-16
51,1522,SummitClimber Backpack,Camping,2026-05-01,Weekly,27,68.66,1.0,Growing,110,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-15
52,1522,SummitClimber Backpack,Camping,2026-05-08,Weekly,27,69.07,1.0,Growing,110,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-04
53,1522,SummitClimber Backpack,Camping,2026-05-15,Weekly,27,73.71,1.0,Growing,110,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-25
54,1522,SummitClimber Backpack,Camping,2026-05-22,Weekly,27,71.75,1.0,Growing,110,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-24
55,1522,SummitClimber Backpack,Camping,2026-06-01,Monthly,128,69.32,1.0,Growing,110,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-18
56,1522,SummitClimber Backpack,Camping,2026-07-01,Monthly,138,69.32,1.0,Growing,110,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-29
57,1532,TrailBlaze Hiking Pants,Camping,2026-05-01,Monthly,114,64.69,1.0,Growing,106,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-13
58,1532,TrailBlaze Hiking Pants,Camping,2026-05-01,Weekly,26,65.24,1.0,Growing,106,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-09
59,1532,TrailBlaze Hiking Pants,Camping,2026-05-08,Weekly,26,69.07,1.0,Growing,106,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-12
60,1532,TrailBlaze Hiking Pants,Camping,2026-05-15,Weekly,26,65.4,1.0,Growing,106,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-19
61,1532,TrailBlaze Hiking Pants,Camping,2026-05-22,Weekly,26,66.68,1.0,Growing,106,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-09
62,1532,TrailBlaze Hiking Pants,Camping,2026-06-01,Monthly,123,64.69,1.0,Growing,106,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-10
63,1532,TrailBlaze Hiking Pants,Camping,2026-07-01,Monthly,133,64.69,1.0,Growing,106,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-08
64,1542,TrailWalker Hiking Shoes,Camping,2026-05-01,Monthly,98,73.53,1.0,Growing,91,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-17
65,1542,TrailWalker Hiking Shoes,Camping,2026-05-01,Weekly,22,76.83,1.0,Growing,91,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-29
66,1542,TrailWalker Hiking Shoes,Camping,2026-05-08,Weekly,22,75.6,1.0,Growing,91,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-27
67,1542,TrailWalker Hiking Shoes,Camping,2026-05-15,Weekly,22,74.58,1.0,Growing,91,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-11
68,1542,TrailWalker Hiking Shoes,Camping,2026-05-22,Weekly,22,75.28,1.0,Growing,91,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-15
69,1542,TrailWalker Hiking Shoes,Camping,2026-06-01,Monthly,106,73.53,1.0,Growing,91,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-22
70,1542,TrailWalker Hiking Shoes,Camping,2026-07-01,Monthly,114,73.53,1.0,Growing,91,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-13
71,1552,TrekMaster Camping Chair,Camping,2026-05-01,Monthly,129,61.41,1.0,Growing,120,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-10
72,1552,TrekMaster Camping Chair,Camping,2026-05-01,Weekly,30,62.15,1.0,Growing,120,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-18
73,1552,TrekMaster Camping Chair,Camping,2026-05-08,Weekly,30,66.3,1.0,Growing,120,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-20
74,1552,TrekMaster Camping Chair,Camping,2026-05-15,Weekly,30,60.12,1.0,Growing,120,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-03
75,1552,TrekMaster Camping Chair,Camping,2026-05-22,Weekly,30,62.32,1.0,Growing,120,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-22
76,1552,TrekMaster Camping Chair,Camping,2026-06-01,Monthly,139,61.41,1.0,Growing,120,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-03
77,1552,TrekMaster Camping Chair,Camping,2026-07-01,Monthly,151,61.41,1.0,Growing,120,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-09
78,1562,PowerBurner Camping Stove,Camping,2026-05-01,Monthly,120,66.69,1.0,Growing,112,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-14
79,1562,PowerBurner Camping Stove,Camping,2026-05-01,Weekly,27,69.07,1.0,Growing,112,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-25
80,1562,PowerBurner Camping Stove,Camping,2026-05-08,Weekly,27,69.12,1.0,Growing,112,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-12
81,1562,PowerBurner Camping Stove,Camping,2026-05-15,Weekly,27,63.17,1.0,Growing,112,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-12
82,1562,PowerBurner Camping Stove,Camping,2026-05-22,Weekly,27,65.16,1.0,Growing,112,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-26
83,1562,PowerBurner Camping Stove,Camping,2026-06-01,Monthly,130,66.69,1.0,Growing,112,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-17
84,1562,PowerBurner Camping Stove,Camping,2026-07-01,Monthly,141,66.69,1.0,Growing,112,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-19
85,1572,MountainDream Sleeping Bag,Camping,2026-05-01,Monthly,71,73.34,1.0,Growing,66,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-22
86,1572,MountainDream Sleeping Bag,Camping,2026-05-01,Weekly,16,71.93,1.0,Growing,66,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-03
87,1572,MountainDream Sleeping Bag,Camping,2026-05-08,Weekly,16,70.23,1.0,Growing,66,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-22
88,1572,MountainDream Sleeping Bag,Camping,2026-05-15,Weekly,16,77.58,1.0,Growing,66,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-11
89,1572,MountainDream Sleeping Bag,Camping,2026-05-22,Weekly,16,70.36,1.0,Growing,66,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-18
90,1572,MountainDream Sleeping Bag,Camping,2026-06-01,Monthly,76,73.34,1.0,Growing,66,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-25
91,1572,MountainDream Sleeping Bag,Camping,2026-07-01,Monthly,83,73.34,1.0,Growing,66,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-04
92,1512,SkyView 2-Person Tent,Camping,2026-05-01,Monthly,79,64.81,1.0,Growing,74,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-11
93,1512,SkyView 2-Person Tent,Camping,2026-05-01,Weekly,18,60.25,1.0,Growing,74,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-25
94,1512,SkyView 2-Person Tent,Camping,2026-05-08,Weekly,18,61.49,1.0,Growing,74,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-23
95,1512,SkyView 2-Person Tent,Camping,2026-05-15,Weekly,18,66.19,1.0,Growing,74,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-23
96,1512,SkyView 2-Person Tent,Camping,2026-05-22,Weekly,18,63.91,1.0,Growing,74,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-26
97,1512,SkyView 2-Person Tent,Camping,2026-06-01,Monthly,86,64.81,1.0,Growing,74,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-04
98,1512,SkyView 2-Person Tent,Camping,2026-07-01,Monthly,93,64.81,1.0,Growing,74,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-25
99,1523,TrailLite Daypack,Camping,2026-05-01,Monthly,110,71.91,1.0,Growing,102,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-28
100,1523,TrailLite Daypack,Camping,2026-05-01,Weekly,25,76.12,1.0,Growing,102,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-01
101,1523,TrailLite Daypack,Camping,2026-05-08,Weekly,25,73.1,1.0,Growing,102,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-06
102,1523,TrailLite Daypack,Camping,2026-05-15,Weekly,25,70.13,1.0,Growing,102,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-03
103,1523,TrailLite Daypack,Camping,2026-05-22,Weekly,25,71.06,1.0,Growing,102,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-20
104,1523,TrailLite Daypack,Camping,2026-06-01,Monthly,118,71.91,1.0,Growing,102,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-17
105,1523,TrailLite Daypack,Camping,2026-07-01,Monthly,128,71.91,1.0,Growing,102,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-03-31
106,1533,RainGuard Hiking Jacket,Camping,2026-05-01,Monthly,70,74.63,1.0,Growing,65,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-06
107,1533,RainGuard Hiking Jacket,Camping,2026-05-01,Weekly,16,78.88,1.0,Growing,65,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-08
108,1533,RainGuard Hiking Jacket,Camping,2026-05-08,Weekly,16,76.2,1.0,Growing,65,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05
109,1533,RainGuard Hiking Jacket,Camping,2026-05-15,Weekly,16,76.05,1.0,Growing,65,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-03
110,1533,RainGuard Hiking Jacket,Camping,2026-05-22,Weekly,16,72.92,1.0,Growing,65,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-13
111,1533,RainGuard Hiking Jacket,Camping,2026-06-01,Monthly,75,74.63,1.0,Growing,65,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-17
112,1533,RainGuard Hiking Jacket,Camping,2026-07-01,Monthly,81,74.63,1.0,Growing,65,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-13
113,1543,TrekStar Hiking Sandals,Camping,2026-05-01,Monthly,71,68.67,1.0,Growing,66,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-20
114,1543,TrekStar Hiking Sandals,Camping,2026-05-01,Weekly,16,67.36,1.0,Growing,66,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-16
115,1543,TrekStar Hiking Sandals,Camping,2026-05-08,Weekly,16,72.27,1.0,Growing,66,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-09
116,1543,TrekStar Hiking Sandals,Camping,2026-05-15,Weekly,16,66.55,1.0,Growing,66,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-07
117,1543,TrekStar Hiking Sandals,Camping,2026-05-22,Weekly,16,67.77,1.0,Growing,66,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21
118,1543,TrekStar Hiking Sandals,Camping,2026-06-01,Monthly,76,68.67,1.0,Growing,66,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-17
119,1543,TrekStar Hiking Sandals,Camping,2026-07-01,Monthly,83,68.67,1.0,Growing,66,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-04
120,1553,Adventure Dining Table,Camping,2026-05-01,Monthly,74,70.06,1.0,Growing,69,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-07
121,1553,Adventure Dining Table,Camping,2026-05-01,Weekly,17,66.38,1.0,Growing,69,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-29
122,1553,Adventure Dining Table,Camping,2026-05-08,Weekly,17,71.46,1.0,Growing,69,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-24
123,1553,Adventure Dining Table,Camping,2026-05-15,Weekly,17,70.39,1.0,Growing,69,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-10
124,1553,Adventure Dining Table,Camping,2026-05-22,Weekly,17,70.61,1.0,Growing,69,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-18
125,1553,Adventure Dining Table,Camping,2026-06-01,Monthly,80,70.06,1.0,Growing,69,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-09
126,1553,Adventure Dining Table,Camping,2026-07-01,Monthly,86,70.06,1.0,Growing,69,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-11
127,1563,CompactCook Camping Stove,Camping,2026-05-01,Monthly,106,64.69,1.0,Growing,99,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-24
128,1563,CompactCook Camping Stove,Camping,2026-05-01,Weekly,24,66.76,1.0,Growing,99,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-18
129,1563,CompactCook Camping Stove,Camping,2026-05-08,Weekly,24,66.05,1.0,Growing,99,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-11
130,1563,CompactCook Camping Stove,Camping,2026-05-15,Weekly,24,61.67,1.0,Growing,99,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-09
131,1563,CompactCook Camping Stove,Camping,2026-05-22,Weekly,24,65.05,1.0,Growing,99,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-09
132,1563,CompactCook Camping Stove,Camping,2026-06-01,Monthly,115,64.69,1.0,Growing,99,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-14
133,1563,CompactCook Camping Stove,Camping,2026-07-01,Monthly,124,64.69,1.0,Growing,99,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-27
134,1581,LED Headlamp - Rechargeable,Camping,2026-05-01,Monthly,113,67.59,1.0,Growing,105,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-16
135,1581,LED Headlamp - Rechargeable,Camping,2026-05-01,Weekly,26,65.65,1.0,Growing,105,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-17
136,1581,LED Headlamp - Rechargeable,Camping,2026-05-08,Weekly,26,62.92,1.0,Growing,105,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05
137,1581,LED Headlamp - Rechargeable,Camping,2026-05-15,Weekly,26,69.53,1.0,Growing,105,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-19
138,1581,LED Headlamp - Rechargeable,Camping,2026-05-22,Weekly,26,63.38,1.0,Growing,105,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-23
139,1581,LED Headlamp - Rechargeable,Camping,2026-06-01,Monthly,122,67.59,1.0,Growing,105,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-28
140,1581,LED Headlamp - Rechargeable,Camping,2026-07-01,Monthly,132,67.59,1.0,Growing,105,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-28
141,2011,Coffee Maker,Kitchen,2026-05-01,Monthly,76,70.61,1.0,Growing,71,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-02
142,2011,Coffee Maker,Kitchen,2026-05-01,Weekly,17,66.82,1.0,Growing,71,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-23
143,2011,Coffee Maker,Kitchen,2026-05-08,Weekly,17,73.52,1.0,Growing,71,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21
144,2011,Coffee Maker,Kitchen,2026-05-15,Weekly,17,68.25,1.0,Growing,71,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-16
145,2011,Coffee Maker,Kitchen,2026-05-22,Weekly,17,75.09,1.0,Growing,71,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-01
146,2011,Coffee Maker,Kitchen,2026-06-01,Monthly,82,70.61,1.0,Growing,71,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-08
147,2011,Coffee Maker,Kitchen,2026-07-01,Monthly,89,70.61,1.0,Growing,71,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-27
148,2012,Espresso Machine,Kitchen,2026-05-01,Monthly,78,64.52,1.0,Growing,73,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-25
149,2012,Espresso Machine,Kitchen,2026-05-01,Weekly,18,62.16,1.0,Growing,73,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21
150,2012,Espresso Machine,Kitchen,2026-05-08,Weekly,18,67.23,1.0,Growing,73,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21
151,2012,Espresso Machine,Kitchen,2026-05-15,Weekly,18,60.01,1.0,Growing,73,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-09
152,2012,Espresso Machine,Kitchen,2026-05-22,Weekly,18,64.37,1.0,Growing,73,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-19
153,2012,Espresso Machine,Kitchen,2026-06-01,Monthly,85,64.52,1.0,Growing,73,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-03-31
154,2012,Espresso Machine,Kitchen,2026-07-01,Monthly,91,64.52,1.0,Growing,73,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-27
155,2021,Chef Knife,Kitchen,2026-05-01,Monthly,72,78.49,1.0,Growing,67,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-06
156,2021,Chef Knife,Kitchen,2026-05-01,Weekly,16,81.67,1.0,Growing,67,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-20
