PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,ProductCategory,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
48,15,PO-2026-0015,1552,TrekMaster Camping Chair,Camping,78,78.0,54.16,4224.48,Received,2026-03-08,2026-03-08,Supplier SKU: CON-1552,system,2026-02-23
49,15,PO-2026-0015,1521,Adventurer Pro Backpack,Camping,50,50.0,151.17,7558.5,Received,2026-03-08,2026-03-08,Supplier SKU: CON-1521,system,2026-02-23
50,15,PO-2026-0015,1572,MountainDream Sleeping Bag,Camping,4,2.0,205.16,820.64,Backordered,2026-03-08,2026-03-08,Supplier SKU: CON-1572,system,2026-02-23
51,16,PO-2026-0016,1563,CompactCook Camping Stove,Camping,174,174.0,74.3,12928.2,Received,2026-04-01,2026-04-02,Supplier SKU: WOR-1563,system,2026-03-07
52,16,PO-2026-0016,3033,Women's Performance Ski Boots,Ski,33,33.0,419.69,13849.77,Received,2026-04-01,2026-04-02,Supplier SKU: WOR-3033,system,2026-03-07
53,16,PO-2026-0016,1521,Adventurer Pro Backpack,Camping,81,81.0,151.95,12307.95,Received,2026-04-01,2026-04-02,Supplier SKU: WOR-1521,system,2026-03-07
54,17,PO-2026-0017,3021,Nordic Classic XC Skis - 185cm,Ski,104,104.0,257.19,26747.76,Received,2026-02-15,2026-02-17,Supplier SKU: ALP-3021,system,2026-01-30
55,17,PO-2026-0017,3061,Professional Ski Helmet,Ski,4,4.0,144.99,579.96,Received,2026-02-15,2026-02-17,Supplier SKU: ALP-3061,system,2026-01-30
56,17,PO-2026-0017,3031,Pro Flex Racing Ski Boots,Ski,10,10.0,497.38,4973.8,Received,2026-02-15,2026-02-17,Supplier SKU: ALP-3031,system,2026-01-30
57,17,PO-2026-0017,3052,Thermal Base Layer Set - Women's,Ski,170,170.0,110.67,18813.9,Received,2026-02-15,2026-02-17,Supplier SKU: ALP-3052,system,2026-01-30
58,18,PO-2026-0018,1532,TrailBlaze Hiking Pants,Camping,4,3.0,75.38,301.52,Backordered,2026-03-22,2026-03-25,Supplier SKU: WOR-1532,system,2026-02-24
59,18,PO-2026-0018,3033,Women's Performance Ski Boots,Ski,32,32.0,419.69,13430.08,Received,2026-03-22,2026-03-25,Supplier SKU: WOR-3033,system,2026-02-24
60,18,PO-2026-0018,2091,Spatula,Kitchen,2,2.0,9.18,18.36,Received,2026-03-22,2026-03-25,Supplier SKU: WOR-2091,system,2026-02-24
61,18,PO-2026-0018,1563,CompactCook Camping Stove,Camping,142,142.0,74.3,10550.6,Received,2026-03-22,2026-03-25,Supplier SKU: WOR-1563,system,2026-02-24
62,19,PO-2026-0019,3021,Nordic Classic XC Skis - 185cm,Ski,37,37.0,249.19,9220.03,Received,2026-04-23,2026-04-25,Supplier SKU: WOR-3021,system,2026-03-28
63,19,PO-2026-0019,3033,Women's Performance Ski Boots,Ski,87,87.0,419.69,36513.03,Received,2026-04-23,2026-04-25,Supplier SKU: WOR-3033,system,2026-03-28
64,20,PO-2026-0020,1532,TrailBlaze Hiking Pants,Camping,4,4.0,75.38,301.52,Received,2026-04-03,2026-04-03,Supplier SKU: WOR-1532,system,2026-03-13
65,20,PO-2026-0020,3021,Nordic Classic XC Skis - 185cm,Ski,38,34.0,249.19,9469.22,Backordered,2026-04-03,2026-04-03,Supplier SKU: WOR-3021,system,2026-03-13
66,21,PO-2026-0021,3102,Winter Hiking Boots - Waterproof,Ski,112,112.0,183.17,20515.04,Received,2026-04-21,2026-04-24,Supplier SKU: ALP-3102,system,2026-04-06
67,22,PO-2026-0022,2081,Food Storage Set,Kitchen,64,64.0,27.66,1770.24,Received,2026-03-02,2026-03-03,Supplier SKU: PRO-2081,system,2026-02-19
68,22,PO-2026-0022,2012,Espresso Machine,Kitchen,177,177.0,315.48,55839.96,Received,2026-03-02,2026-03-03,Supplier SKU: PRO-2012,system,2026-02-19
69,23,PO-2026-0023,3021,Nordic Classic XC Skis - 185cm,Ski,23,23.0,270.89,6230.47,Received,2026-03-30,2026-03-30,Supplier SKU: FAB-3021,system,2026-03-17
70,24,PO-2026-0024,3062,Anti-Fog Ski Goggles,Ski,93,93.0,86.98,8089.14,Received,2026-03-04,2026-03-06,Supplier SKU: ALP-3062,system,2026-02-19
71,24,PO-2026-0024,3013,Beginner's Choice Alpine Skis - 160cm,Ski,26,26.0,352.91,9175.66,Received,2026-03-04,2026-03-06,Supplier SKU: ALP-3013,system,2026-02-19
72,24,PO-2026-0024,3042,Aluminum All-Mountain Poles - 115cm,Ski,2,2.0,61.48,122.96,Received,2026-03-04,2026-03-06,Supplier SKU: ALP-3042,system,2026-02-19
73,24,PO-2026-0024,3092,All-Mountain Snowboard - 158cm,Ski,1,1.0,622.36,622.36,Received,2026-03-04,2026-03-06,Supplier SKU: ALP-3092,system,2026-02-19
74,24,PO-2026-0024,3082,Edge Tuning Tool Set,Ski,5,5.0,91.1,455.5,Received,2026-03-04,2026-03-06,Supplier SKU: ALP-3082,system,2026-02-19
75,25,PO-2026-0025,2022,Fork Set,Kitchen,37,37.0,30.45,1126.65,Received,2026-04-15,2026-04-17,Supplier SKU: PRO-2022,system,2026-04-05
76,25,PO-2026-0025,2021,Chef Knife,Kitchen,17,17.0,54.35,923.95,Received,2026-04-15,2026-04-17,Supplier SKU: PRO-2021,system,2026-04-05
77,25,PO-2026-0025,2051,Ice Cream Bowl,Kitchen,4,4.0,18.17,72.68,Received,2026-04-15,2026-04-17,Supplier SKU: PRO-2051,system,2026-04-05
78,25,PO-2026-0025,2111,High-Speed Blender,Kitchen,3,2.0,147.2,441.6,Backordered,2026-04-15,2026-04-17,Supplier SKU: PRO-2111,system,2026-04-05
79,25,PO-2026-0025,2012,Espresso Machine,Kitchen,109,109.0,315.48,34387.32,Received,2026-04-15,2026-04-17,Supplier SKU: PRO-2012,system,2026-04-05
80,26,PO-2026-0026,3021,Nordic Classic XC Skis - 185cm,Ski,48,,270.89,13002.72,Shipped,2026-05-14,,Supplier SKU: FAB-3021,system,2026-04-29
81,27,PO-2026-0027,1522,SummitClimber Backpack,Camping,1,1.0,145.39,145.39,Received,2026-02-21,2026-02-22,Supplier SKU: CON-1522,system,2026-02-07
82,28,PO-2026-0028,3071,Ski Boot Bag - Premium,Ski,23,23.0,41.25,948.75,Received,2026-04-14,2026-04-18,Supplier SKU: FAB-3071,system,2026-04-01
83,28,PO-2026-0028,3102,Winter Hiking Boots - Waterproof,Ski,61,61.0,163.66,9983.26,Received,2026-04-14,2026-04-18,Supplier SKU: FAB-3102,system,2026-04-01
84,28,PO-2026-0028,3104,Ski Tuning Bench - Portable,Ski,14,14.0,147.78,2068.92,Received,2026-04-14,2026-04-18,Supplier SKU: FAB-3104,system,2026-04-01
85,28,PO-2026-0028,3021,Nordic Classic XC Skis - 185cm,Ski,43,43.0,270.89,11648.27,Received,2026-04-14,2026-04-18,Supplier SKU: FAB-3021,system,2026-04-01
86,29,PO-2026-0029,3013,Beginner's Choice Alpine Skis - 160cm,Ski,27,27.0,352.91,9528.57,Received,2026-02-20,2026-02-20,Supplier SKU: ALP-3013,system,2026-02-07
87,29,PO-2026-0029,3021,Nordic Classic XC Skis - 185cm,Ski,54,54.0,257.19,13888.26,Received,2026-02-20,2026-02-20,Supplier SKU: ALP-3021,system,2026-02-07
88,30,PO-2026-0030,3033,Women's Performance Ski Boots,Ski,122,112.0,419.69,51202.18,Backordered,2026-04-24,2026-04-27,Supplier SKU: WOR-3033,system,2026-03-30
89,30,PO-2026-0030,1521,Adventurer Pro Backpack,Camping,29,29.0,151.95,4406.55,Received,2026-04-24,2026-04-27,Supplier SKU: WOR-1521,system,2026-03-30
90,30,PO-2026-0030,1532,TrailBlaze Hiking Pants,Camping,2,2.0,75.38,150.76,Received,2026-04-24,2026-04-27,Supplier SKU: WOR-1532,system,2026-03-30
91,30,PO-2026-0030,1563,CompactCook Camping Stove,Camping,65,65.0,74.3,4829.5,Received,2026-04-24,2026-04-27,Supplier SKU: WOR-1563,system,2026-03-30
92,30,PO-2026-0030,3021,Nordic Classic XC Skis - 185cm,Ski,30,30.0,249.19,7475.7,Received,2026-04-24,2026-04-27,Supplier SKU: WOR-3021,system,2026-03-30
93,31,PO-2026-0031,3041,Carbon Fiber Racing Poles - 120cm,Ski,19,19.0,122.21,2321.99,Received,2026-04-18,2026-04-20,Supplier SKU: ALP-3041,system,2026-04-08
94,31,PO-2026-0031,3062,Anti-Fog Ski Goggles,Ski,113,113.0,86.98,9828.74,Received,2026-04-18,2026-04-20,Supplier SKU: ALP-3062,system,2026-04-08
95,31,PO-2026-0031,3032,Comfort Fit Recreational Boots,Ski,23,23.0,252.31,5803.13,Received,2026-04-18,2026-04-20,Supplier SKU: ALP-3032,system,2026-04-08
96,31,PO-2026-0031,3052,Thermal Base Layer Set - Women's,Ski,175,175.0,110.67,19367.25,Received,2026-04-18,2026-04-20,Supplier SKU: ALP-3052,system,2026-04-08
97,31,PO-2026-0031,3031,Pro Flex Racing Ski Boots,Ski,16,16.0,497.38,7958.08,Received,2026-04-18,2026-04-20,Supplier SKU: ALP-3031,system,2026-04-08
98,32,PO-2026-0032,3102,Winter Hiking Boots - Waterproof,Ski,174,,163.66,28476.84,Pending,2026-05-10,,Supplier SKU: FAB-3102,system,2026-04-24
99,32,PO-2026-0032,3104,Ski Tuning Bench - Portable,Ski,17,,147.78,2512.26,Pending,2026-05-10,,Supplier SKU: FAB-3104,system,2026-04-24
100,33,PO-2026-0033,1532,TrailBlaze Hiking Pants,Camping,3,3.0,75.38,226.14,Received,2026-04-12,2026-04-13,Supplier SKU: WOR-1532,system,2026-03-23
101,33,PO-2026-0033,2091,Spatula,Kitchen,2,2.0,9.18,18.36,Received,2026-04-12,2026-04-13,Supplier SKU: WOR-2091,system,2026-03-23
102,34,PO-2026-0034,3021,Nordic Classic XC Skis - 185cm,Ski,35,33.0,270.89,9481.15,Backordered,2026-03-15,2026-03-15,Supplier SKU: FAB-3021,system,2026-02-25
103,34,PO-2026-0034,3102,Winter Hiking Boots - Waterproof,Ski,92,92.0,163.66,15056.72,Received,2026-03-15,2026-03-15,Supplier SKU: FAB-3102,system,2026-02-25
104,34,PO-2026-0034,3104,Ski Tuning Bench - Portable,Ski,21,21.0,147.78,3103.38,Received,2026-03-15,2026-03-15,Supplier SKU: FAB-3104,system,2026-02-25
105,34,PO-2026-0034,3071,Ski Boot Bag - Premium,Ski,40,40.0,41.25,1650.0,Received,2026-03-15,2026-03-15,Supplier SKU: FAB-3071,system,2026-02-25
106,35,PO-2026-0035,1522,SummitClimber Backpack,Camping,5,5.0,145.39,726.95,Received,2026-04-15,2026-04-17,Supplier SKU: CON-1522,system,2026-04-03
107,36,PO-2026-0036,3021,Nordic Classic XC Skis - 185cm,Ski,33,33.0,270.89,8939.37,Received,2026-04-05,2026-04-05,Supplier SKU: FAB-3021,system,2026-03-23
108,37,PO-2026-0037,3071,Ski Boot Bag - Premium,Ski,32,,41.25,1320.0,Pending,2026-05-14,,Supplier SKU: FAB-3071,system,2026-04-26
109,37,PO-2026-0037,3102,Winter Hiking Boots - Waterproof,Ski,111,,163.66,18166.26,Pending,2026-05-14,,Supplier SKU: FAB-3102,system,2026-04-26
110,37,PO-2026-0037,3104,Ski Tuning Bench - Portable,Ski,39,,147.78,5763.42,Pending,2026-05-14,,Supplier SKU: FAB-3104,system,2026-04-26
111,38,PO-2026-0038,3061,Professional Ski Helmet,Ski,2,2.0,144.99,289.98,Received,2026-03-07,2026-03-10,Supplier SKU: ALP-3061,system,2026-02-25
112,39,PO-2026-0039,3061,Professional Ski Helmet,Ski,5,5.0,144.99,724.95,Received,2026-02-14,2026-02-14,Supplier SKU: ALP-3061,system,2026-02-03
113,39,PO-2026-0039,3071,Ski Boot Bag - Premium,Ski,59,46.0,39.5,2330.5,Backordered,2026-02-14,2026-02-14,Supplier SKU: ALP-3071,system,2026-02-03
114,40,PO-2026-0040,3021,Nordic Classic XC Skis - 185cm,Ski,15,,249.19,3737.85,Pending,2026-05-15,,Supplier SKU: WOR-3021,system,2026-04-22
115,40,PO-2026-0040,3033,Women's Performance Ski Boots,Ski,113,,419.69,47424.97,Pending,2026-05-15,,Supplier SKU: WOR-3033,system,2026-04-22
116,40,PO-2026-0040,2091,Spatula,Kitchen,4,,9.18,36.72,Pending,2026-05-15,,Supplier SKU: WOR-2091,system,2026-04-22
117,41,PO-2026-0041,2091,Spatula,Kitchen,5,,9.18,45.9,Pending,2026-05-05,,Supplier SKU: WOR-2091,system,2026-04-11
118,41,PO-2026-0041,1521,Adventurer Pro Backpack,Camping,112,,151.95,17018.4,Pending,2026-05-05,,Supplier SKU: WOR-1521,system,2026-04-11
119,41,PO-2026-0041,1532,TrailBlaze Hiking Pants,Camping,3,,75.38,226.14,Pending,2026-05-05,,Supplier SKU: WOR-1532,system,2026-04-11
120,41,PO-2026-0041,3021,Nordic Classic XC Skis - 185cm,Ski,31,,249.19,7724.89,Pending,2026-05-05,,Supplier SKU: WOR-3021,system,2026-04-11
121,42,PO-2026-0042,1532,TrailBlaze Hiking Pants,Camping,5,5.0,75.38,376.9,Received,2026-04-08,2026-04-11,Supplier SKU: WOR-1532,system,2026-03-13
122,42,PO-2026-0042,1563,CompactCook Camping Stove,Camping,94,94.0,74.3,6984.2,Received,2026-04-08,2026-04-11,Supplier SKU: WOR-1563,system,2026-03-13
123,42,PO-2026-0042,3033,Women's Performance Ski Boots,Ski,26,26.0,419.69,10911.94,Received,2026-04-08,2026-04-11,Supplier SKU: WOR-3033,system,2026-03-13
124,42,PO-2026-0042,3021,Nordic Classic XC Skis - 185cm,Ski,19,19.0,249.19,4734.61,Received,2026-04-08,2026-04-11,Supplier SKU: WOR-3021,system,2026-03-13
125,42,PO-2026-0042,2091,Spatula,Kitchen,1,1.0,9.18,9.18,Received,2026-04-08,2026-04-11,Supplier SKU: WOR-2091,system,2026-03-13
126,43,PO-2026-0043,3021,Nordic Classic XC Skis - 185cm,Ski,42,42.0,249.19,10465.98,Received,2026-04-10,2026-04-11,Supplier SKU: WOR-3021,system,2026-03-16
127,43,PO-2026-0043,1563,CompactCook Camping Stove,Camping,150,150.0,74.3,11145.0,Received,2026-04-10,2026-04-11,Supplier SKU: WOR-1563,system,2026-03-16
128,44,PO-2026-0044,3102,Winter Hiking Boots - Waterproof,Ski,138,138.0,163.66,22585.08,Received,2026-03-19,2026-03-22,Supplier SKU: FAB-3102,system,2026-02-28
129,44,PO-2026-0044,3071,Ski Boot Bag - Premium,Ski,30,30.0,41.25,1237.5,Received,2026-03-19,2026-03-22,Supplier SKU: FAB-3071,system,2026-02-28
130,44,PO-2026-0044,3021,Nordic Classic XC Skis - 185cm,Ski,42,42.0,270.89,11377.38,Received,2026-03-19,2026-03-22,Supplier SKU: FAB-3021,system,2026-02-28
131,44,PO-2026-0044,3104,Ski Tuning Bench - Portable,Ski,38,38.0,147.78,5615.64,Received,2026-03-19,2026-03-22,Supplier SKU: FAB-3104,system,2026-02-28
132,45,PO-2026-0045,3041,Carbon Fiber Racing Poles - 120cm,Ski,42,,122.21,5132.82,Shipped,2026-04-14,,Supplier SKU: ALP-3041,system,2026-04-02
133,45,PO-2026-0045,3081,All-Temp Ski Wax Kit,Ski,139,,56.17,7807.63,Shipped,2026-04-14,,Supplier SKU: ALP-3081,system,2026-04-02
134,45,PO-2026-0045,3071,Ski Boot Bag - Premium,Ski,61,,39.5,2409.5,Shipped,2026-04-14,,Supplier SKU: ALP-3071,system,2026-04-02
135,45,PO-2026-0045,3102,Winter Hiking Boots - Waterproof,Ski,81,,183.17,14836.77,Shipped,2026-04-14,,Supplier SKU: ALP-3102,system,2026-04-02
136,45,PO-2026-0045,3013,Beginner's Choice Alpine Skis - 160cm,Ski,22,,352.91,7764.02,Shipped,2026-04-14,,Supplier SKU: ALP-3013,system,2026-04-02
137,46,PO-2026-0046,3104,Ski Tuning Bench - Portable,Ski,50,50.0,147.78,7389.0,Received,2026-04-13,2026-04-15,Supplier SKU: FAB-3104,system,2026-03-28
138,46,PO-2026-0046,3102,Winter Hiking Boots - Waterproof,Ski,51,45.0,163.66,8346.66,Backordered,2026-04-13,2026-04-15,Supplier SKU: FAB-3102,system,2026-03-28
139,46,PO-2026-0046,3071,Ski Boot Bag - Premium,Ski,16,16.0,41.25,660.0,Received,2026-04-13,2026-04-15,Supplier SKU: FAB-3071,system,2026-03-28
140,47,PO-2026-0047,1533,RainGuard Hiking Jacket,Camping,33,,116.73,3852.09,Shipped,2026-02-10,,Supplier SKU: CON-1533,system,2026-02-02
141,48,PO-2026-0048,3021,Nordic Classic XC Skis - 185cm,Ski,25,25.0,249.19,6229.75,Received,2026-03-15,2026-03-18,Supplier SKU: WOR-3021,system,2026-02-21
142,48,PO-2026-0048,2091,Spatula,Kitchen,2,2.0,9.18,18.36,Received,2026-03-15,2026-03-18,Supplier SKU: WOR-2091,system,2026-02-21
143,48,PO-2026-0048,1521,Adventurer Pro Backpack,Camping,99,99.0,151.95,15043.05,Received,2026-03-15,2026-03-18,Supplier SKU: WOR-1521,system,2026-02-21
144,48,PO-2026-0048,3033,Women's Performance Ski Boots,Ski,96,96.0,419.69,40290.24,Received,2026-03-15,2026-03-18,Supplier SKU: WOR-3033,system,2026-02-21
145,48,PO-2026-0048,1532,TrailBlaze Hiking Pants,Camping,3,2.0,75.38,226.14,Backordered,2026-03-15,2026-03-18,Supplier SKU: WOR-1532,system,2026-02-21
146,49,PO-2026-0049,1553,Adventure Dining Table,Camping,20,20.0,112.72,2254.4,Received,2026-03-13,2026-03-15,Supplier SKU: CON-1553,system,2026-03-03
147,49,PO-2026-0049,1561,EcoFire Camping Stove,Camping,6,6.0,75.11,450.66,Received,2026-03-13,2026-03-15,Supplier SKU: CON-1561,system,2026-03-03
148,49,PO-2026-0049,1581,LED Headlamp - Rechargeable,Camping,4,4.0,58.54,234.16,Received,2026-03-13,2026-03-15,Supplier SKU: CON-1581,system,2026-03-03
149,49,PO-2026-0049,1552,TrekMaster Camping Chair,Camping,46,46.0,54.16,2491.36,Received,2026-03-13,2026-03-15,Supplier SKU: CON-1552,system,2026-03-03
150,49,PO-2026-0049,1571,CozyNights Sleeping Bag,Camping,49,49.0,113.19,5546.31,Received,2026-03-13,2026-03-15,Supplier SKU: CON-1571,system,2026-03-03
151,50,PO-2026-0050,1522,SummitClimber Backpack,Camping,2,2.0,145.39,290.78,Received,2026-04-14,2026-04-14,Supplier SKU: CON-1522,system,2026-04-01
152,51,PO-2026-0051,1511,Alpine Explorer Tent,Camping,120,120.0,327.59,39310.8,Received,2026-02-26,2026-03-01,Supplier SKU: CON-1511,system,2026-02-11
153,51,PO-2026-0051,1541,TrekReady Hiking Boots,Camping,76,76.0,121.2,9211.2,Received,2026-02-26,2026-03-01,Supplier SKU: CON-1541,system,2026-02-11
154,51,PO-2026-0051,1523,TrailLite Daypack,Camping,2,2.0,53.51,107.02,Received,2026-02-26,2026-03-01,Supplier SKU: CON-1523,system,2026-02-11
155,51,PO-2026-0051,1572,MountainDream Sleeping Bag,Camping,3,3.0,205.16,615.48,Received,2026-02-26,2026-03-01,Supplier SKU: CON-1572,system,2026-02-11
156,51,PO-2026-0051,1542,TrailWalker Hiking Shoes,Camping,20,20.0,92.66,1853.2,Received,2026-02-26,2026-03-01,Supplier SKU: CON-1542,system,2026-02-11
